index,product_brand,product_title,current_price,min_quantity,regular_price,sale_price,was_price,non_members_price,product_image
172,Post,Shredded Wheat Big Biscuit Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/20014409_EA/en/1/20014409_en_front_400.png
173,Kelloggs,Vector Meal Replacement Cereal,13.99,1,13.99,,,,https://digital.loblaws.ca/PCX/20072706_EA/en/1/20072706_en_front_400.png
174,Post,Shreddies Cereal Original Family Size,7.29,1,7.29,,,,https://digital.loblaws.ca/PCX/21575229_EA/en/1/21575229_en_front_400.png
175,General Mills,"Lucky Charms Breakfast Cereal with Marshmallows, Family Size, Whole Grains",7.99,1,7.99,,,,https://digital.loblaws.ca/PCX/21103505_EA/en/1/21103505_en_front_v2_400.png
176,Post,With Almonds Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/21427197_EA/en/1/21427197_en_front_400.png
177,Kelloggs,Poptarts Pop Tarts Frosted Strawberry,3.0,3,,3.0,,3.75,https://digital.loblaws.ca/PCX/21290111_EA/en/1/6410013092_enfr_front_centre_marketing_GS1_Ecommerce_400.png
178,Kelloggs,Froot Loops Cereal Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21651640_EA/en/1/5972410164_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
179,Kelloggs,Vector Meal Replacement Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21504064_EA/en/1/6410014665_en_front_centre_marketing_GS1_Ecommerce_400.png
180,Kelloggs,Frosted Flakes Cereal Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21651947_EA/en/1/5972410172_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
181,Post,Honey Bunches Of Oat Honey Roasted Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/21427173_EA/en/1/62815438071_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
182,Weetabix,Whole Grain Cereal    ,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/20184626_EA/en/1/20184626_en_front_400.png
183,Quaker,Regular Instant Oatmeal,3.5,1,,3.5,4.0,,https://digital.loblaws.ca/PCX/21190265_EA/en/1/21190265_en_front_400.png
184,President's Choice,Original Extra-Fluffy Pancake And Waffle Mix,3.75,1,3.75,,,,https://digital.loblaws.ca/PCX/20318589_EA/en/1/6038305898_enfr_front_centre_marketing_GS1_Ecommerce_400.png
185,Post,Sugar Crisp Cereal    ,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/20071915001_EA/en/1/62815413800_enfr_front_centre_marketing_GS1_Ecommerce_400.png
186,Kelloggs,Krave Cereal Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21653742_EA/en/1/5972410156_en_front_centre_marketing_A_1_GS1_Ecommerce_v2_400.png
187,General Mills,"Reese's Puffs Breakfast Cereal, Peanut Butter Chocolate, Whole Grains",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104053_EA/en/1/21104053_en_front_v2_400.png
188,General Mills,"Rice Chex, Gluten Free",5.99,1,5.99,,,,https://digital.loblaws.ca/PCX/21535225_EA/en/1/6563319797_enfr_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
189,Quaker,One Minute Oats,5.79,1,5.79,,,,https://digital.loblaws.ca/PCX/20323113003_EA/en/1/20323113003_en_front_v1_400.png
190,Kelloggs,All Bran All-Bran Buds Cereal,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/20016844_EA/en/1/20016844_en_front_400.png
191,Kelloggs,Corn Pops Cereal,4.0,1,4.0,,,,https://digital.loblaws.ca/PCX/21652133_EA/en/1/5972410190_en_front_centre_marketing_1_GS1_Ecommerce_400.png
192,General Mills,"Honey Nut Cheerios Breakfast Cereal, Whole Grains",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104047_EA/en/1/21104047_en_front_v2_400.png
193,Post,Shreddies Original Cereals,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/21427214_EA/en/1/62815438021_enfr_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
194,Kelloggs,Rice Krispies Cereal,4.5,2,,4.5,,5.79,https://digital.loblaws.ca/PCX/21450814_EA/en/1/6410014450_en_front_centre_marketing_1_GS1_Ecommerce_400.png
195,General Mills,Cheerios Whole Grain Breakfast Cereal Limited Edition,3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104173_EA/en/1/21104173_en_front_v2_400.png
196,Kelloggs,Rice Krispies Original,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21449784_EA/en/1/21449784_en_front_v1_400.png
197,General Mills,"Cinnamon Toast Crunch Breakfast Cereal, Whole Grains and Real Cinnamon",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104055_EA/en/1/21104055_en_front_v1_400.png
198,Kelloggs,Oven-Toasted Rice Grain Cereal Holiday Edition,4.5,1,4.5,,,,https://digital.loblaws.ca/PCX/21307252_EA/en/1/6410013593_enfr_front_centre_marketing_A_GS1_Marketing_v1_400.png
199,General Mills,"Honey Nut Cheerios Breakfast Cereal, Family Size, Whole Grains",7.99,1,7.99,,,,https://digital.loblaws.ca/PCX/21103495_EA/en/1/21103495_en_front_v2_400.png
200,Post,Honeycomb Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/20299648_EA/en/1/20299648_en_front_400.png
201,Quaker,Maple & Brown Sugar Flavour Instant Oatmeal,3.5,1,,3.5,4.0,,https://digital.loblaws.ca/PCX/21190254_EA/en/1/21190254_en_front_400.png
202,Kelloggs,Corn Flakes Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21450811_EA/en/1/6410014311_en_front_centre_marketing_GS1_Ecommerce_400.png
203,General Mills,"Multi Grain Breakfast Cereal, Whole Grains",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104058_EA/en/1/21104058_en_front_v2_400.png
204,Post,Honey Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/21427201_EA/en/1/62815438033_enfr_front_centre_marketing_GS1_Ecommerce_400.png
205,Kelloggs,Corn Flakes Cereal,4.5,2,,4.5,,5.79,https://digital.loblaws.ca/PCX/21450851_EA/en/1/6410014452_en_front_centre_marketing_1_GS1_Ecommerce_v1_400.png
206,Quaker,Quick Oats,5.79,1,5.79,,,,https://digital.loblaws.ca/PCX/20323113001_EA/en/1/20323113001_en_front_v1_400.png
207,Kelloggs,Froot Loops Cereal,4.0,1,4.0,,,,https://digital.loblaws.ca/PCX/21652128_EA/en/1/5972410186_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
208,Kelloggs,Frosted Flakes Cereal,4.0,1,4.0,,,,https://digital.loblaws.ca/PCX/21652110_EA/en/1/5972410148_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
209,General Mills,"Lucky Charms Breakfast Cereal with Marshmallows, Whole Grains",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104054_EA/en/1/21104054_en_front_400.png
210,General Mills,"Original Cheerios Breakfast Cereal, Family Size, Whole Grains",7.99,1,7.99,,,,https://digital.loblaws.ca/PCX/21103499_EA/en/1/21103499_en_front_v2_400.png
211,General Mills,"Multi Grain Cheerios Breakfast Cereal, Family Size, Whole Grains",7.99,1,7.99,,,,https://digital.loblaws.ca/PCX/21103503_EA/en/1/21103503_en_front_v2_400.png
212,Kelloggs,Mini Wheats Mini Wheat Frosted Cereal,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21430748_EA/en/1/21430748_en_front_400.png
213,President's Choice,Extra-Fluffy Buttermilk Pancake & Waffle Mix,3.75,1,3.75,,,,https://digital.loblaws.ca/PCX/20175129_EA/en/1/6038305897_enfr_front_centre_marketing_GS1_Ecommerce_400.png
214,General Mills,"Cinnamon Toast Crunch Breakfast Cereal, Family Size, Whole Grains",7.99,1,7.99,,,,https://digital.loblaws.ca/PCX/21103492_EA/en/1/21103492_en_front_400.png
215,Quaker,Instant Oatmeal 3 Flavour Variety Pack,3.5,1,,3.5,4.0,,https://digital.loblaws.ca/PCX/21190260_EA/en/1/21190260_en_front_400.png
216,Quaker,Harvest Crunch Original Granola Cereal,5.99,1,5.99,,,,https://digital.loblaws.ca/PCX/21219824_EA/en/1/21219824_en_front_400.png
217,Post,Spoon Size Shredded Wheat & Bran Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/20751584_EA/en/1/20751584_en_front_v1_400.png
218,Kelloggs,Raisin Bran Cereal Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21652002_EA/en/1/5972410166_en_front_centre_marketing_1_GS1_Ecommerce_400.png
219,Quaker,"Oats, Large Flake",5.79,1,5.79,,,,https://digital.loblaws.ca/PCX/20323113002_EA/en/1/20323113002_en_front_400.png
220,Post,Shredded Wheat Big Biscuit Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/20014409_EA/en/1/20014409_en_front_400.png
221,Kelloggs,Vector Meal Replacement Cereal,13.99,1,13.99,,,,https://digital.loblaws.ca/PCX/20072706_EA/en/1/20072706_en_front_400.png
222,Post,Shreddies Cereal Original Family Size,7.29,1,7.29,,,,https://digital.loblaws.ca/PCX/21575229_EA/en/1/21575229_en_front_400.png
223,General Mills,"Lucky Charms Breakfast Cereal with Marshmallows, Family Size, Whole Grains",7.99,1,7.99,,,,https://digital.loblaws.ca/PCX/21103505_EA/en/1/21103505_en_front_v2_400.png
224,Post,With Almonds Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/21427197_EA/en/1/21427197_en_front_400.png
225,Kelloggs,Poptarts Pop Tarts Frosted Strawberry,3.0,3,,3.0,,3.75,https://digital.loblaws.ca/PCX/21290111_EA/en/1/6410013092_enfr_front_centre_marketing_GS1_Ecommerce_400.png
226,Kelloggs,Froot Loops Cereal Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21651640_EA/en/1/5972410164_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
227,Kelloggs,Vector Meal Replacement Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21504064_EA/en/1/6410014665_en_front_centre_marketing_GS1_Ecommerce_400.png
228,Kelloggs,Frosted Flakes Cereal Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21651947_EA/en/1/5972410172_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
229,Post,Honey Bunches Of Oat Honey Roasted Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/21427173_EA/en/1/62815438071_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
230,Weetabix,Whole Grain Cereal    ,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/20184626_EA/en/1/20184626_en_front_400.png
231,Quaker,Regular Instant Oatmeal,3.5,1,,3.5,4.0,,https://digital.loblaws.ca/PCX/21190265_EA/en/1/21190265_en_front_400.png
232,President's Choice,Original Extra-Fluffy Pancake And Waffle Mix,3.75,1,3.75,,,,https://digital.loblaws.ca/PCX/20318589_EA/en/1/6038305898_enfr_front_centre_marketing_GS1_Ecommerce_400.png
233,Post,Sugar Crisp Cereal    ,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/20071915001_EA/en/1/62815413800_enfr_front_centre_marketing_GS1_Ecommerce_400.png
234,Kelloggs,Krave Cereal Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21653742_EA/en/1/5972410156_en_front_centre_marketing_A_1_GS1_Ecommerce_v2_400.png
235,General Mills,"Reese's Puffs Breakfast Cereal, Peanut Butter Chocolate, Whole Grains",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104053_EA/en/1/21104053_en_front_v2_400.png
236,General Mills,"Rice Chex, Gluten Free",5.99,1,5.99,,,,https://digital.loblaws.ca/PCX/21535225_EA/en/1/6563319797_enfr_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
237,Quaker,One Minute Oats,5.79,1,5.79,,,,https://digital.loblaws.ca/PCX/20323113003_EA/en/1/20323113003_en_front_v1_400.png
238,Kelloggs,All Bran All-Bran Buds Cereal,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/20016844_EA/en/1/20016844_en_front_400.png
239,Kelloggs,Corn Pops Cereal,4.0,1,4.0,,,,https://digital.loblaws.ca/PCX/21652133_EA/en/1/5972410190_en_front_centre_marketing_1_GS1_Ecommerce_400.png
240,General Mills,"Honey Nut Cheerios Breakfast Cereal, Whole Grains",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104047_EA/en/1/21104047_en_front_v2_400.png
241,Post,Shreddies Original Cereals,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/21427214_EA/en/1/62815438021_enfr_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
242,Kelloggs,Rice Krispies Cereal,4.5,2,,4.5,,5.79,https://digital.loblaws.ca/PCX/21450814_EA/en/1/6410014450_en_front_centre_marketing_1_GS1_Ecommerce_400.png
243,General Mills,Cheerios Whole Grain Breakfast Cereal Limited Edition,3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104173_EA/en/1/21104173_en_front_v2_400.png
244,Kelloggs,Rice Krispies Original,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21449784_EA/en/1/21449784_en_front_v1_400.png
245,General Mills,"Cinnamon Toast Crunch Breakfast Cereal, Whole Grains and Real Cinnamon",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104055_EA/en/1/21104055_en_front_v1_400.png
246,Kelloggs,Oven-Toasted Rice Grain Cereal Holiday Edition,4.5,1,4.5,,,,https://digital.loblaws.ca/PCX/21307252_EA/en/1/6410013593_enfr_front_centre_marketing_A_GS1_Marketing_v1_400.png
247,General Mills,"Honey Nut Cheerios Breakfast Cereal, Family Size, Whole Grains",7.99,1,7.99,,,,https://digital.loblaws.ca/PCX/21103495_EA/en/1/21103495_en_front_v2_400.png
248,Post,Honeycomb Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/20299648_EA/en/1/20299648_en_front_400.png
249,Quaker,Maple & Brown Sugar Flavour Instant Oatmeal,3.5,1,,3.5,4.0,,https://digital.loblaws.ca/PCX/21190254_EA/en/1/21190254_en_front_400.png
250,Kelloggs,Corn Flakes Family Size,6.0,1,,6.0,7.99,,https://digital.loblaws.ca/PCX/21450811_EA/en/1/6410014311_en_front_centre_marketing_GS1_Ecommerce_400.png
251,General Mills,"Multi Grain Breakfast Cereal, Whole Grains",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104058_EA/en/1/21104058_en_front_v2_400.png
252,Post,Honey Cereal,5.49,1,5.49,,,,https://digital.loblaws.ca/PCX/21427201_EA/en/1/62815438033_enfr_front_centre_marketing_GS1_Ecommerce_400.png
253,Kelloggs,Corn Flakes Cereal,4.5,2,,4.5,,5.79,https://digital.loblaws.ca/PCX/21450851_EA/en/1/6410014452_en_front_centre_marketing_1_GS1_Ecommerce_v1_400.png
254,Quaker,Quick Oats,5.79,1,5.79,,,,https://digital.loblaws.ca/PCX/20323113001_EA/en/1/20323113001_en_front_v1_400.png
255,Kelloggs,Froot Loops Cereal,4.0,1,4.0,,,,https://digital.loblaws.ca/PCX/21652128_EA/en/1/5972410186_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
256,Kelloggs,Frosted Flakes Cereal,4.0,1,4.0,,,,https://digital.loblaws.ca/PCX/21652110_EA/en/1/5972410148_en_front_centre_marketing_A_1_GS1_Ecommerce_v1_400.png
257,General Mills,"Lucky Charms Breakfast Cereal with Marshmallows, Whole Grains",3.0,1,,3.0,4.5,,https://digital.loblaws.ca/PCX/21104054_EA/en/1/21104054_en_front_400.png
